Comment,Designator,Footprint,LCSC
100 ,"R1,R10,R11,R12,R2,R3,R4,R5,R6,R7,R8,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
SFH213 FA,"PD1,PD2,PD3",XDCR_SFH_213_FA,C2900211
MMBT2222A ,"Q1,Q2,Q3",TO-92_Inline,C8512
TSAL4400,"D1,D2,D3",LED_D3.0mm_Horizontal_O3.81mm_Z2.0mm,C94135
